Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 34.15007459544317
current distance: 33.93762572056972
current distance: 33.6828050704379
current distance: 33.363316910414
current distance: 33.04711740959125
current distance: 33.06565689644375
current distance: 32.77247007965603
current distance: 32.66690554740128
current distance: 33.045643261610905
current distance: 33.03331062115627
current distance: 32.40373576183493
current distance: 32.47788870957357
current distance: 32.982266265539906
current distance: 33.40841464906435
current distance: 32.940090143093755
current distance: 33.29871002651608
current distance: 33.659341360171084
current distance: 33.28758660468995
current distance: 32.806175495675575
current distance: 32.77655030015896
current distance: 33.41564535701056
current distance: 33.67260663713452
current distance: 33.649437805784984
current distance: 33.38212778190213
current distance: 32.94594803307887
current distance: 32.44943164207333
current distance: 32.82673275189035
current distance: 33.217065296722026
current distance: 33.995801979637285
current distance: 34.54314566035372
current distance: 34.996791916190375
current distance: 34.4643435549955
current distance: 33.994811818429504
current distance: 34.38589614903495
current distance: 34.38618685505486
current distance: 33.72963730161239
current distance: 33.87162574833877
current distance: 34.088699804350114
current distance: 35.04125866566258
current distance: 35.07488818184509
current distance: 35.181976756735914
current distance: 35.35819763364665
current distance: 34.78874284651203
current distance: 34.84411990243529
current distance: 34.377369898588285
current distance: 34.15014982050755
current distance: 34.46517737311996
current distance: 34.57134648871963
current distance: 34.66378998407502
current distance: 34.691904392431894
current distance: 34.455049993516866
current distance: 34.36866410200009
current distance: 34.417543948675025
current distance: 34.15459806058796
current distance: 34.3241981018075
current distance: 34.189113165853335
current distance: 33.886051670488506
current distance: 33.63433418826377
current distance: 32.94165654326365
current distance: 32.81399240767508
current distance: 33.10452097435844
current distance: 33.816999205843665
current distance: 33.7377925987375
current distance: 33.32784318654549
current distance: 33.07765881957016
current distance: 33.17728363899811
current distance: 32.85353877644368
current distance: 33.108845140787565
current distance: 33.79844504458577
current distance: 34.295722697045306
current distance: 34.01484433216365
current distance: 33.69427663307758
current distance: 33.95455962858993
current distance: 33.53402193226621
current distance: 33.27450166005525
current distance: 33.720427835081935
current distance: 34.078969599521116
current distance: 33.76607249658662
current distance: 33.468611395098364
current distance: 33.809801120283026
current distance: 34.086104426864324
current distance: 33.89154009227789
current distance: 34.27658504543717
current distance: 34.00434370455528
current distance: 33.74261400692344
current distance: 33.486499415245305
current distance: 34.116045457151294
current distance: 33.87742353260194
current distance: 33.955317984082164
current distance: 33.72809221662327
current distance: 34.15172109784222
current distance: 34.073200219031314
current distance: 33.8981229774887
current distance: 33.644453747599016
current distance: 33.691509478373085
current distance: 33.4433770844487
current distance: 33.22548680751351
current distance: 33.6966068444503
current distance: 33.48650355654382
current distance: 33.295391089938796
current distance: 33.11744733182773
current distance: 33.677571961723785
current distance: 33.354172453048356
current distance: 33.537085499694726
current distance: 34.325403141336416
current distance: 34.17357722076982
current distance: 33.762634877774104
current distance: 33.16714424433729
current distance: 32.52246319234496
current distance: 32.35896541094482
current distance: 32.809305609624445
current distance: 33.007713239402285
current distance: 33.02202420059804
current distance: 32.98991446451994
current distance: 32.949002416524976
current distance: 32.854658368483804
current distance: 33.17056408561278
current distance: 32.999344985703
